Datum;Periode ab;kW
01.01.2021;00:00;66,64
01.01.2021;00:15;57,12
01.01.2021;00:30;66,64
01.01.2021;00:45;57,12
01.01.2021;01:00;66,64
01.01.2021;01:15;57,12
01.01.2021;01:30;66,64
01.01.2021;01:45;57,12
01.01.2021;02:00;66,64
01.01.2021;02:15;57,12
01.01.2021;02:30;66,64
01.01.2021;02:45;57,12
01.01.2021;03:00;66,64
01.01.2021;03:15;57,12
01.01.2021;03:30;66,64
01.01.2021;03:45;57,12
01.01.2021;04:00;57,12
01.01.2021;04:15;66,64
01.01.2021;04:30;57,12
01.01.2021;04:45;66,64
01.01.2021;05:00;57,12
01.01.2021;05:15;66,64
01.01.2021;05:30;57,12
01.01.2021;05:45;66,64
01.01.2021;06:00;57,12
01.01.2021;06:15;57,12
01.01.2021;06:30;66,64
01.01.2021;06:45;57,12
01.01.2021;07:00;66,64
01.01.2021;07:15;57,12
01.01.2021;07:30;57,12
01.01.2021;07:45;66,64
01.01.2021;08:00;57,12
01.01.2021;08:15;66,64
01.01.2021;08:30;57,12
01.01.2021;08:45;57,12
01.01.2021;09:00;57,12
01.01.2021;09:15;66,64
01.01.2021;09:30;57,12
01.01.2021;09:45;66,64
01.01.2021;10:00;57,12
01.01.2021;10:15;57,12
01.01.2021;10:30;66,64
01.01.2021;10:45;57,12
01.01.2021;11:00;57,12
01.01.2021;11:15;57,12
01.01.2021;11:30;57,12
01.01.2021;11:45;66,64
01.01.2021;12:00;57,12
01.01.2021;12:15;57,12
01.01.2021;12:30;66,64
01.01.2021;12:45;57,12
01.01.2021;13:00;57,12
01.01.2021;13:15;66,64
01.01.2021;13:30;57,12
01.01.2021;13:45;57,12
01.01.2021;14:00;57,12
01.01.2021;14:15;57,12
01.01.2021;14:30;66,64
01.01.2021;14:45;57,12
01.01.2021;15:00;57,12
01.01.2021;15:15;66,64
01.01.2021;15:30;57,12
01.01.2021;15:45;57,12
01.01.2021;16:00;57,12
01.01.2021;16:15;57,12
01.01.2021;16:30;66,64
01.01.2021;16:45;57,12
01.01.2021;17:00;66,64
01.01.2021;17:15;57,12
01.01.2021;17:30;66,64
01.01.2021;17:45;57,12
01.01.2021;18:00;66,64
01.01.2021;18:15;57,12
01.01.2021;18:30;57,12
01.01.2021;18:45;57,12
01.01.2021;19:00;66,64
01.01.2021;19:15;57,12
01.01.2021;19:30;66,64
01.01.2021;19:45;57,12
01.01.2021;20:00;66,64
01.01.2021;20:15;57,12
01.01.2021;20:30;66,64
01.01.2021;20:45;57,12
01.01.2021;21:00;57,12
01.01.2021;21:15;66,64
01.01.2021;21:30;66,64
01.01.2021;21:45;57,12
01.01.2021;22:00;66,64
01.01.2021;22:15;57,12
01.01.2021;22:30;66,64
01.01.2021;22:45;57,12
01.01.2021;23:00;66,64
01.01.2021;23:15;57,12
01.01.2021;23:30;66,64
01.01.2021;23:45;57,12
02.01.2021;00:00;57,12
02.01.2021;00:15;66,64
02.01.2021;00:30;66,64
02.01.2021;00:45;57,12
02.01.2021;01:00;57,12
02.01.2021;01:15;66,64
02.01.2021;01:30;57,12
02.01.2021;01:45;66,64
02.01.2021;02:00;57,12
02.01.2021;02:15;66,64
02.01.2021;02:30;57,12
02.01.2021;02:45;66,64
02.01.2021;03:00;57,12
02.01.2021;03:15;57,12
02.01.2021;03:30;66,64
02.01.2021;03:45;57,12
02.01.2021;04:00;57,12
02.01.2021;04:15;66,64
02.01.2021;04:30;57,12
02.01.2021;04:45;66,64
02.01.2021;05:00;57,12
02.01.2021;05:15;66,64
02.01.2021;05:30;104,72
02.01.2021;05:45;161,84
02.01.2021;06:00;190,40
02.01.2021;06:15;199,92
02.01.2021;06:30;190,40
02.01.2021;06:45;199,92
02.01.2021;07:00;199,92
02.01.2021;07:15;199,92
02.01.2021;07:30;190,40
02.01.2021;07:45;199,92
02.01.2021;08:00;190,40
02.01.2021;08:15;199,92
02.01.2021;08:30;190,40
02.01.2021;08:45;209,44
02.01.2021;09:00;199,92
02.01.2021;09:15;190,40
02.01.2021;09:30;190,40
02.01.2021;09:45;180,88
02.01.2021;10:00;199,92
02.01.2021;10:15;190,40
02.01.2021;10:30;180,88
02.01.2021;10:45;209,44
02.01.2021;11:00;199,92
02.01.2021;11:15;180,88
02.01.2021;11:30;161,84
02.01.2021;11:45;161,84
02.01.2021;12:00;161,84
02.01.2021;12:15;161,84
02.01.2021;12:30;152,32
02.01.2021;12:45;171,36
02.01.2021;13:00;180,88
02.01.2021;13:15;161,84
02.01.2021;13:30;123,76
02.01.2021;13:45;114,24
02.01.2021;14:00;66,64
02.01.2021;14:15;57,12
02.01.2021;14:30;66,64
02.01.2021;14:45;57,12
02.01.2021;15:00;66,64
02.01.2021;15:15;57,12
02.01.2021;15:30;66,64
02.01.2021;15:45;57,12
02.01.2021;16:00;57,12
02.01.2021;16:15;66,64
02.01.2021;16:30;57,12
02.01.2021;16:45;57,12
02.01.2021;17:00;66,64
02.01.2021;17:15;57,12
02.01.2021;17:30;66,64
02.01.2021;17:45;66,64
02.01.2021;18:00;57,12
02.01.2021;18:15;66,64
02.01.2021;18:30;57,12
02.01.2021;18:45;66,64
02.01.2021;19:00;57,12
02.01.2021;19:15;66,64
02.01.2021;19:30;57,12
02.01.2021;19:45;66,64
02.01.2021;20:00;57,12
02.01.2021;20:15;66,64
02.01.2021;20:30;66,64
02.01.2021;20:45;57,12
02.01.2021;21:00;66,64
02.01.2021;21:15;57,12
02.01.2021;21:30;66,64
02.01.2021;21:45;57,12
02.01.2021;22:00;66,64
02.01.2021;22:15;66,64
02.01.2021;22:30;57,12
02.01.2021;22:45;66,64
02.01.2021;23:00;57,12
02.01.2021;23:15;66,64
02.01.2021;23:30;66,64
02.01.2021;23:45;57,12
03.01.2021;00:00;57,12
03.01.2021;00:15;66,64
03.01.2021;00:30;57,12
03.01.2021;00:45;66,64
03.01.2021;01:00;57,12
03.01.2021;01:15;66,64
03.01.2021;01:30;66,64
03.01.2021;01:45;57,12
03.01.2021;02:00;66,64
03.01.2021;02:15;57,12
03.01.2021;02:30;66,64
03.01.2021;02:45;66,64
03.01.2021;03:00;57,12
03.01.2021;03:15;66,64
03.01.2021;03:30;66,64
03.01.2021;03:45;57,12
03.01.2021;04:00;66,64
03.01.2021;04:15;57,12
03.01.2021;04:30;66,64
03.01.2021;04:45;57,12
03.01.2021;05:00;66,64
03.01.2021;05:15;57,12
03.01.2021;05:30;66,64
03.01.2021;05:45;57,12
03.01.2021;06:00;66,64
03.01.2021;06:15;66,64
03.01.2021;06:30;57,12
03.01.2021;06:45;66,64
03.01.2021;07:00;57,12
03.01.2021;07:15;66,64
03.01.2021;07:30;57,12
03.01.2021;07:45;66,64
03.01.2021;08:00;57,12
03.01.2021;08:15;66,64
03.01.2021;08:30;57,12
03.01.2021;08:45;66,64
03.01.2021;09:00;57,12
03.01.2021;09:15;66,64
03.01.2021;09:30;57,12
03.01.2021;09:45;57,12
03.01.2021;10:00;66,64
03.01.2021;10:15;57,12
03.01.2021;10:30;66,64
03.01.2021;10:45;57,12
03.01.2021;11:00;66,64
03.01.2021;11:15;57,12
03.01.2021;11:30;66,64
03.01.2021;11:45;57,12
03.01.2021;12:00;66,64
03.01.2021;12:15;57,12
03.01.2021;12:30;66,64
03.01.2021;12:45;57,12
03.01.2021;13:00;66,64
03.01.2021;13:15;57,12
03.01.2021;13:30;66,64
03.01.2021;13:45;66,64
03.01.2021;14:00;57,12
03.01.2021;14:15;57,12
03.01.2021;14:30;57,12
03.01.2021;14:45;66,64
03.01.2021;15:00;66,64
03.01.2021;15:15;57,12
03.01.2021;15:30;66,64
03.01.2021;15:45;57,12
03.01.2021;16:00;66,64
03.01.2021;16:15;57,12
03.01.2021;16:30;57,12
03.01.2021;16:45;57,12
03.01.2021;17:00;66,64
03.01.2021;17:15;57,12
03.01.2021;17:30;66,64
03.01.2021;17:45;57,12
03.01.2021;18:00;66,64
03.01.2021;18:15;57,12
03.01.2021;18:30;66,64
03.01.2021;18:45;57,12
03.01.2021;19:00;66,64
03.01.2021;19:15;57,12
03.01.2021;19:30;66,64
03.01.2021;19:45;66,64
03.01.2021;20:00;57,12
03.01.2021;20:15;66,64
03.01.2021;20:30;57,12
03.01.2021;20:45;66,64
03.01.2021;21:00;57,12
03.01.2021;21:15;66,64
03.01.2021;21:30;57,12
03.01.2021;21:45;66,64
03.01.2021;22:00;57,12
03.01.2021;22:15;66,64
03.01.2021;22:30;57,12
03.01.2021;22:45;66,64
03.01.2021;23:00;66,64
03.01.2021;23:15;57,12
03.01.2021;23:30;66,64
03.01.2021;23:45;57,12
04.01.2021;00:00;66,64
04.01.2021;00:15;57,12
04.01.2021;00:30;66,64
04.01.2021;00:45;66,64
04.01.2021;01:00;57,12
04.01.2021;01:15;66,64
04.01.2021;01:30;57,12
04.01.2021;01:45;66,64
04.01.2021;02:00;57,12
04.01.2021;02:15;66,64
04.01.2021;02:30;57,12
04.01.2021;02:45;66,64
04.01.2021;03:00;57,12
04.01.2021;03:15;66,64
04.01.2021;03:30;66,64
04.01.2021;03:45;57,12
04.01.2021;04:00;66,64
04.01.2021;04:15;66,64
04.01.2021;04:30;57,12
04.01.2021;04:45;76,16
04.01.2021;05:00;104,72
04.01.2021;05:15;180,88
04.01.2021;05:30;180,88
04.01.2021;05:45;266,56
04.01.2021;06:00;399,84
04.01.2021;06:15;456,96
04.01.2021;06:30;495,04
04.01.2021;06:45;476,00
04.01.2021;07:00;580,72
04.01.2021;07:15;628,32
04.01.2021;07:30;609,28
04.01.2021;07:45;485,52
04.01.2021;08:00;885,36
04.01.2021;08:15;561,68
04.01.2021;08:30;561,68
04.01.2021;08:45;647,36
04.01.2021;09:00;714,00
04.01.2021;09:15;1161,44
04.01.2021;09:30;1247,12
04.01.2021;09:45;599,76
04.01.2021;10:00;495,04
04.01.2021;10:15;514,08
04.01.2021;10:30;542,64
04.01.2021;10:45;1104,32
04.01.2021;11:00;904,40
04.01.2021;11:15;2056,32
04.01.2021;11:30;1923,04
04.01.2021;11:45;1770,72
04.01.2021;12:00;561,68
04.01.2021;12:15;599,76
04.01.2021;12:30;1789,76
04.01.2021;12:45;904,40
04.01.2021;13:00;856,80
04.01.2021;13:15;828,24
04.01.2021;13:30;704,48
04.01.2021;13:45;485,52
04.01.2021;14:00;904,40
04.01.2021;14:15;2027,76
04.01.2021;14:30;2056,32
04.01.2021;14:45;2751,28
04.01.2021;15:00;1827,84
04.01.2021;15:15;847,28
04.01.2021;15:30;1304,24
04.01.2021;15:45;980,56
04.01.2021;16:00;723,52
04.01.2021;16:15;847,28
04.01.2021;16:30;1085,28
04.01.2021;16:45;1256,64
04.01.2021;17:00;2456,16
04.01.2021;17:15;3170,16
04.01.2021;17:30;3074,96
04.01.2021;17:45;1894,48
04.01.2021;18:00;485,52
04.01.2021;18:15;437,92
04.01.2021;18:30;856,80
04.01.2021;18:45;1846,88
04.01.2021;19:00;1875,44
04.01.2021;19:15;1846,88
04.01.2021;19:30;1875,44
04.01.2021;19:45;1780,24
04.01.2021;20:00;1675,52
04.01.2021;20:15;2456,16
04.01.2021;20:30;1913,52
04.01.2021;20:45;1875,44
04.01.2021;21:00;1799,28
04.01.2021;21:15;2303,84
04.01.2021;21:30;1599,36
04.01.2021;21:45;1389,92
04.01.2021;22:00;1456,56
04.01.2021;22:15;1742,16
04.01.2021;22:30;3008,32
04.01.2021;22:45;3284,40
04.01.2021;23:00;3036,88
04.01.2021;23:15;3017,84
04.01.2021;23:30;2894,08
04.01.2021;23:45;2789,36
05.01.2021;00:00;3036,88
05.01.2021;00:15;3227,28
05.01.2021;00:30;3293,92
05.01.2021;00:45;3284,40
05.01.2021;01:00;3265,36
05.01.2021;01:15;2960,72
05.01.2021;01:30;2951,20
05.01.2021;01:45;1294,72
05.01.2021;02:00;380,80
05.01.2021;02:15;361,76
05.01.2021;02:30;2151,52
05.01.2021;02:45;2998,80
05.01.2021;03:00;3208,24
05.01.2021;03:15;3084,48
05.01.2021;03:30;3027,36
05.01.2021;03:45;3027,36
05.01.2021;04:00;3113,04
05.01.2021;04:15;3160,64
05.01.2021;04:30;3036,88
05.01.2021;04:45;3036,88
05.01.2021;05:00;2884,56
05.01.2021;05:15;2998,80
05.01.2021;05:30;2856,00
05.01.2021;05:45;1923,04
05.01.2021;06:00;2218,16
05.01.2021;06:15;2284,80
05.01.2021;06:30;2313,36
05.01.2021;06:45;2275,28
05.01.2021;07:00;2094,40
05.01.2021;07:15;961,52
05.01.2021;07:30;1494,64
05.01.2021;07:45;1751,68
05.01.2021;08:00;1732,64
05.01.2021;08:15;1789,76
05.01.2021;08:30;1970,64
05.01.2021;08:45;818,72
05.01.2021;09:00;618,80
05.01.2021;09:15;647,36
05.01.2021;09:30;894,88
05.01.2021;09:45;1637,44
05.01.2021;10:00;571,20
05.01.2021;10:15;561,68
05.01.2021;10:30;590,24
05.01.2021;10:45;666,40
05.01.2021;11:00;675,92
05.01.2021;11:15;628,32
05.01.2021;11:30;609,28
05.01.2021;11:45;694,96
05.01.2021;12:00;1028,16
05.01.2021;12:15;2341,92
05.01.2021;12:30;2360,96
05.01.2021;12:45;2313,36
05.01.2021;13:00;2218,16
05.01.2021;13:15;894,88
05.01.2021;13:30;1551,76
05.01.2021;13:45;2056,32
05.01.2021;14:00;2703,68
05.01.2021;14:15;3265,36
05.01.2021;14:30;3255,84
05.01.2021;14:45;3284,40
05.01.2021;15:00;3189,20
05.01.2021;15:15;3227,28
05.01.2021;15:30;3274,88
05.01.2021;15:45;3151,12
05.01.2021;16:00;3189,20
05.01.2021;16:15;3265,36
05.01.2021;16:30;3255,84
05.01.2021;16:45;3265,36
05.01.2021;17:00;3265,36
05.01.2021;17:15;3017,84
05.01.2021;17:30;3179,68
05.01.2021;17:45;1951,60
05.01.2021;18:00;523,60
05.01.2021;18:15;456,96
05.01.2021;18:30;1666,00
05.01.2021;18:45;3065,44
05.01.2021;19:00;3246,32
05.01.2021;19:15;3170,16
05.01.2021;19:30;3293,92
05.01.2021;19:45;3160,64
05.01.2021;20:00;3208,24
05.01.2021;20:15;2741,76
05.01.2021;20:30;2970,24
05.01.2021;20:45;3141,60
05.01.2021;21:00;3122,56
05.01.2021;21:15;1856,40
05.01.2021;21:30;495,04
05.01.2021;21:45;114,24
05.01.2021;22:00;85,68
05.01.2021;22:15;76,16
05.01.2021;22:30;76,16
05.01.2021;22:45;76,16
05.01.2021;23:00;76,16
05.01.2021;23:15;76,16
05.01.2021;23:30;76,16
05.01.2021;23:45;85,68
06.01.2021;00:00;76,16
06.01.2021;00:15;76,16
06.01.2021;00:30;76,16
06.01.2021;00:45;76,16
06.01.2021;01:00;76,16
06.01.2021;01:15;76,16
06.01.2021;01:30;76,16
06.01.2021;01:45;85,68
06.01.2021;02:00;76,16
06.01.2021;02:15;76,16
06.01.2021;02:30;76,16
06.01.2021;02:45;76,16
06.01.2021;03:00;76,16
06.01.2021;03:15;76,16
06.01.2021;03:30;76,16
06.01.2021;03:45;76,16
06.01.2021;04:00;76,16
06.01.2021;04:15;76,16
06.01.2021;04:30;76,16
06.01.2021;04:45;85,68
06.01.2021;05:00;76,16
06.01.2021;05:15;76,16
06.01.2021;05:30;76,16
06.01.2021;05:45;76,16
06.01.2021;06:00;76,16
06.01.2021;06:15;76,16
06.01.2021;06:30;76,16
06.01.2021;06:45;76,16
06.01.2021;07:00;76,16
06.01.2021;07:15;152,32
06.01.2021;07:30;142,80
06.01.2021;07:45;123,76
06.01.2021;08:00;142,80
06.01.2021;08:15;133,28
06.01.2021;08:30;133,28
06.01.2021;08:45;133,28
06.01.2021;09:00;133,28
06.01.2021;09:15;133,28
06.01.2021;09:30;133,28
06.01.2021;09:45;133,28
06.01.2021;10:00;133,28
06.01.2021;10:15;142,80
06.01.2021;10:30;133,28
06.01.2021;10:45;133,28
06.01.2021;11:00;133,28
06.01.2021;11:15;133,28
06.01.2021;11:30;133,28
06.01.2021;11:45;133,28
06.01.2021;12:00;133,28
06.01.2021;12:15;133,28
06.01.2021;12:30;133,28
06.01.2021;12:45;142,80
06.01.2021;13:00;133,28
06.01.2021;13:15;133,28
06.01.2021;13:30;133,28
06.01.2021;13:45;133,28
06.01.2021;14:00;142,80
06.01.2021;14:15;133,28
06.01.2021;14:30;123,76
06.01.2021;14:45;133,28
06.01.2021;15:00;142,80
06.01.2021;15:15;133,28
06.01.2021;15:30;123,76
06.01.2021;15:45;142,80
06.01.2021;16:00;133,28
06.01.2021;16:15;133,28
06.01.2021;16:30;133,28
06.01.2021;16:45;133,28
06.01.2021;17:00;123,76
06.01.2021;17:15;104,72
06.01.2021;17:30;76,16
06.01.2021;17:45;76,16
06.01.2021;18:00;76,16
06.01.2021;18:15;85,68
06.01.2021;18:30;76,16
06.01.2021;18:45;76,16
06.01.2021;19:00;85,68
06.01.2021;19:15;76,16
06.01.2021;19:30;76,16
06.01.2021;19:45;85,68
06.01.2021;20:00;76,16
06.01.2021;20:15;76,16
06.01.2021;20:30;85,68
06.01.2021;20:45;76,16
06.01.2021;21:00;76,16
06.01.2021;21:15;76,16
06.01.2021;21:30;85,68
06.01.2021;21:45;76,16
06.01.2021;22:00;85,68
06.01.2021;22:15;76,16
06.01.2021;22:30;76,16
06.01.2021;22:45;85,68
06.01.2021;23:00;76,16
06.01.2021;23:15;76,16
06.01.2021;23:30;95,20
06.01.2021;23:45;247,52
07.01.2021;00:00;1228,08
07.01.2021;00:15;2170,56
07.01.2021;00:30;2113,44
07.01.2021;00:45;2113,44
07.01.2021;01:00;2951,20
07.01.2021;01:15;3160,64
07.01.2021;01:30;3179,68
07.01.2021;01:45;3170,16
07.01.2021;02:00;3084,48
07.01.2021;02:15;2989,28
07.01.2021;02:30;3036,88
07.01.2021;02:45;2722,72
07.01.2021;03:00;618,80
07.01.2021;03:15;542,64
07.01.2021;03:30;1066,24
07.01.2021;03:45;1380,40
07.01.2021;04:00;2151,52
07.01.2021;04:15;1589,84
07.01.2021;04:30;1551,76
07.01.2021;04:45;1589,84
07.01.2021;05:00;2970,24
07.01.2021;05:15;3065,44
07.01.2021;05:30;2836,96
07.01.2021;05:45;2113,44
07.01.2021;06:00;1999,20
07.01.2021;06:15;2132,48
07.01.2021;06:30;2132,48
07.01.2021;06:45;2151,52
07.01.2021;07:00;2132,48
07.01.2021;07:15;1780,24
07.01.2021;07:30;2161,04
07.01.2021;07:45;2122,96
07.01.2021;08:00;2161,04
07.01.2021;08:15;2142,00
07.01.2021;08:30;2199,12
07.01.2021;08:45;2199,12
07.01.2021;09:00;2113,44
07.01.2021;09:15;2189,60
07.01.2021;09:30;2122,96
07.01.2021;09:45;1532,72
07.01.2021;10:00;523,60
07.01.2021;10:15;514,08
07.01.2021;10:30;1351,84
07.01.2021;10:45;1856,40
07.01.2021;11:00;1218,56
07.01.2021;11:15;2103,92
07.01.2021;11:30;2008,72
07.01.2021;11:45;2065,84
07.01.2021;12:00;2151,52
07.01.2021;12:15;2246,72
07.01.2021;12:30;2265,76
07.01.2021;12:45;2265,76
07.01.2021;13:00;2322,88
